,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
941,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,"20,000"," Gulshan Colony, Qutub Shahi Tombs "
942,1 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,East Facing Property,"10,500"," Hafeezpet, NH "
943,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1050 sqft,"16,000", Attapur 
944,2 BHK Builder Floor,North,Unfurnished,Bachelors,850 sqft,"7,500", Nagaram 
945,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2700 sqft,"48,000"," Lanco Hills, Manikonda, Outer Ring Road "
946,2 BHK Apartment,1,Unfurnished,Bachelors,850 sqft,"11,000", hydernagar 
947,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1900 sqft,"20,000", Nizampet 
948,3 BHK Apartment,East,Unfurnished,Bachelors,1200 sqft,"15,000", New Nallakunta 
949,3 BHK Apartment,2,Semi-Furnished,Bachelors,1500 sqft,"14,000"," Janapriya Arcadia, Alwal "
950,2 BHK Apartment,1,Unfurnished,Bachelors/Family,750 sqft,"12,000"," Bachupally, Outer Ring Road "
951,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1215 sqft,"15,000", Aminpur 
952,2 BHK Apartment,West,Unfurnished,Family,1245 sqft,"15,000"," NSK Bliss Meadows, Madinaguda, Hafeezpet, NH "
953,4 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2311 sqft,"45,000"," Jains Carlton Creek, Gachibowli, Outer Ring Road "
954,3 BHK Apartment,1,Unfurnished,Bachelors,2240 sqft,"23,000"," Tellapur, Outer Ring Road "
955,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1350 sqft,"14,000", Nizampet 
956,3 BHK Apartment,2,Furnished,Bachelors/Family,1550 sqft,"40,000", Narayanguda 
957,2 BHK Apartment,2,Furnished,Bachelors,1300 sqft,"25,000", Moti Nagar 
958,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2160 sqft,"36,000"," Sanath Nagar, NH "
959,3 BHK Builder Floor,2,Unfurnished,Family,1630 sqft,"16,000"," SV Brindavanam, Boduppal, NH "
960,1 BHK Apartment,1,Unfurnished,Bachelors/Family,read more,"12,000"," Ameerpet, NH "
961,2 BHK Apartment,2,Unfurnished,Bachelors/Family,780 sqft,"12,500", Kothapet 
962,2 BHK Apartment,East,Unfurnished,Bachelors/Family,1500 sqft,"10,000", Dr A.S. Rao Nagar 
963,3 BHK Builder Floor,East,Unfurnished,Bachelors/Family,1650 sqft,"15,000"," Miyapur, NH "
964,3 BHK Apartment,2,Semi-Furnished,Bachelors,1625 sqft,"20,500"," Mayflower Heights, Mallapur "
965,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1414 sqft,"25,000"," RDB Coconut Grove, Miyapur, NH "
966,2 BHK Apartment,3,Semi-Furnished,Bachelors,1200 sqft,"14,500", Suchitra Circle 
967,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,"15,000"," Langar House South, Hyderabad Expressway "
968,3 BHK Apartment,2,Unfurnished,Family,1335 sqft,"32,000", Hitech City 
969,1 BHK Apartment,1,Furnished,Bachelors/Family,NaN,"20,000", Chitrapuri Colony
970,2 BHK Apartment,Main Road,Furnished,Bachelors/Family,1200 sqft,"32,000"," SK Wonders, Kondapur "
971,2 BHK Apartment,East,Semi-Furnished,Bachelors/Family,2200 sqft,"13,000", Toli Chowki 
972,3 BHK Apartment,1,Unfurnished,Bachelors,1850 sqft,"20,000", Nizampet 
973,2 BHK Apartment,2,Semi-Furnished,Bachelors,1000 sqft,"9,500", Vayupuri 
974,3 BHK Apartment,East,Semi-Furnished,Bachelors,1650 sqft,"35,000"," The Legend, Himayath Nagar, NH "
975,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,"9,000"," Saket, Secunderabad "
976,3 BHK Builder Floor,Main Road,Semi-Furnished,Bachelors/Family,1800 sqft,"16,000"," Old Malakpet, NH "
977,3 BHK Apartment,North,Semi-Furnished,Bachelors,1735 sqft,"30,000"," Keesara Homes, Domalguda, Himayath Nagar, NH "
978,3 BHK Apartment,2,Semi-Furnished,Bachelors,1500 sqft,"16,000"," Neknampur, Manikonda, Outer Ring Road "
979,2 BHK Apartment,1,Furnished,Bachelors,1048 sqft,"44,000"," Golf Edge, Gachibowli CUC, Outer Ring Road "
980,3 BHK Apartment,2,Semi-Furnished,Family,2187 sqft,"50,000"," Jains Ravi Gayathri Heights, Hitech City "
981,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,"22,000"," Miyapur, NH "
982,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1000 sqft,"14,000", Attapur 
983,2 BHK Builder Floor,2,Unfurnished,Bachelors,100 sqyrd,"15,000", Toli Chowki 
984,1 BHK Penthouse,1,Unfurnished,Bachelors/Family,read more,"6,000"," Ramanthapur, NH "
985,3 BHK Apartment,2,Semi-Furnished,Bachelors,1698 sqft,"15,000"," Upparpally, Hyderabad Expressway "
986,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"33,000"," Ashok Nagar, Himayath Nagar "
987,2 BHK Apartment,1,Semi-Furnished,Family,1250 sqft,"12,000"," Venkata Sai Enclave, Nizampet "
988,1 BHK Builder Floor,"Garden/Park, Main Road",Semi-Furnished,Bachelors/Family,read more,"12,000", Langar
989,4 BHK Apartment,3,Semi-Furnished,Bachelors,3000 sqft,"40,000"," Kokapet, Outer Ring Road "
990,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,"12,000", Old Bowenpally 
991,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors,1000 sqft,"           	 			           	 			16,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Jawahar Nagar-Chikkadpally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
992,																																								2 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors/Family,1050 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kalyan Nagar, New Malakpet, NH  "
993,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1000 sqft,"           	 			           	 			11,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Hyder Shah Kote, Chevella Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
994,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1350 sqft,"           	 			           	 			12,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sun City, Bandlaguda, Chevella Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
995,																																								3 BHK Builder Floor																									            	,2,Unfurnished,Bachelors/Family,1450 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kukatpally Housing Board Colony, NH  "
996,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1100 sqft,"           	 			           	 			14,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Toli Chowki 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
997,																																								1 BHK Builder Floor																									            	,East,Semi-Furnished,Bachelors/Family,			                       									            								                							                	East Facing Property							                				                        			                       ,"           	 			           	 			11,000           	 		", 									
998,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1755 sqft,"           	 			           	 			29,000           	 		"," 									 								 				             				             			             				         			            	Sri Hemadurga Sivahills,  			            	 	                	 	                		 					            							          							         	Puppalaguda 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
999,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1300 sqft,"           	 			           	 			13,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Ashok Nagar-Ramachandra Puram, NH  "
1000,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,			                       									            								                							                	East Facing Property							                				                        			                       ,"           	 			           	 			18,000           	 		", 									
1001,																																								1 BHK Apartment																									            	,1,Unfurnished,Bachelors,			                       									            								                							                	East Facing Property							                				                        			                       ,"           	 			           	 			7,500           	 		", 									
1002,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors,1500 sqft,"           	 			           	 			22,000           	 		"," 									 								 				             				             			             				         			            	Hima Shiva,  			            	 	                	 	                		 					            							          							         	New Nallakunta 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1003,																																								3 BHK Apartment																									            	,3,Furnished,Bachelors/Family,2005 sqft,"           	 			           	 			45,000           	 		"," 									 								 				             				             			             				         			            	Shanthinikethan,  			            	 	                	 	                		 					            							          							         	Whitefields 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1004,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1800 sqft,"           	 			           	 			26,000           	 		"," 									 								 				             				             			             				         			            	Chitrapuri Colony,  			            	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1005,																																								3 BHK Apartment																									            	,4,Semi-Furnished,Bachelors/Family,1600 sqft,"           	 			           	 			27,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Barkatpura, Kachiguda, NH "
1006,																																								4 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors,2000 sqft,"           	 			           	 			23,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Aziz Bagh Colony, Toli Chowki 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1007,																																								3 BHK Apartment																									            	,2,Unfurnished,Bachelors,1650 sqft,"           	 			           	 			18,500           	 		"," 									 								 				             				             			             				         			            	Amulya Fortune,  			            	 	                	 	                		 					            							          							         	Miyapur, NH  "
1008,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,1000 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Ravi Colony 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1009,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1453 sqft,"           	 			           	 			17,000           	 		"," 									 								 				             				             			             				         			            	Aakriti Honey dew,  			            	 	                	 	                		 					            							          							         	Tellapur, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1010,																																																Studio Apartment																	            	,North,Semi-Furnished,Bachelors/Family,read more,"           	 			           	 			8,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Manikonda
1011,																																								1 BHK Apartment																									            	,NaN,Bachelors/Family,1,NaN,"           	 			           	 			10,000           	 		", 									
1012,																																								2 BHK Apartment																									            	,East,Unfurnished,Family,700 sqft,"           	 			           	 			17,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Nallagandla, Serilingampally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1013,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			18,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Mehdipatnam 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1014,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1400 sqft,"           	 			           	 			16,000           	 		"," 									 								 				             				             			             				         			            	Prajapati Elite,  			            	 	                	 	                		 					            							          							         	Miyapur, NH  "
1015,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1125 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Bandlaguda Jagir 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1016,																																								2 BHK Builder Floor																									            	,Main Road,Unfurnished,Bachelors/Family,950 sqft,"           	 			           	 			10,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Old Malakpet, NH  "
1017,																																								2 BHK Builder Floor																									            	,East,Unfurnished,Bachelors/Family,1100 sqft,"           	 			           	 			8,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Aminpur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1018,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1490 sqft,"           	 			           	 			30,000           	 		"," 									 								 				             				             			             				         			            	Aditya Imperial Heights,  			            	 	                	 	                		 					            							          							         	Hafeezpet, NH  "
1019,																																								2 BHK Apartment																									            	,East,Furnished,Bachelors/Family,1200 sqft,"           	 			           	 			27,000           	 		"," 									 								 				             				             			             				         			            	Shreya Elegance,  			            	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1020,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1200 sqft,"           	 			           	 			10,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sun City, Bandlaguda, Chevella Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1021,																																								1 BHK Apartment																									            	,1,Furnished,Bachelors/Family,			                       									            								                							                	East Facing Property							                				                        			                       ,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Red Hills, Lakdikapul, NH "
1022,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,2060 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1023,																																								3 BHK Apartment																									            	,3,Unfurnished,Bachelors/Family,1250 sqft,"           	 			           	 			13,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Upparpally, Hyderabad Expressway 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1024,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,800 sqft,"           	 			           	 			11,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Nallagandla, Serilingampally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1025,																																								2 BHK Penthouse																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,800 sqft,"           	 			           	 			10,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Red Hills, Lakdikapul, NH "
1026,																																								1 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,read more,"           	 			           	 			7,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Vidyanagar
1027,																																								2 BHK Apartment																									            	,3,Unfurnished,Bachelors,1000 sqft,"           	 			           	 			8,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Chaitanyapuri, Kothapet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1028,																																								2 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,900 sqft,"           	 			           	 			10,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kukatpally, NH  "
1029,																																								1 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,read more,"           	 			           	 			12,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Banjara Hills, NH  "
1030,																																								3 BHK Builder Floor																									            	,4,Semi-Furnished,Bachelors/Family,1600 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Banjara Hills, NH  "
1031,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1715 sqft,"           	 			           	 			21,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Mehdipatnam 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1032,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,2000 sqft,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Tellapur, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1033,																																								1 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,read more,"           	 			           	 			7,500           	 		", 									
1034,																																								2 BHK Penthouse																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1000 sqft,"           	 			           	 			10,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kukatpally, NH  "
1035,																																								2 BHK Apartment																									            	,Main Road,Unfurnished,Bachelors/Family,1200 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Santosh Nagar-Mehdipatnam 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1036,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1000 sqft,"           	 			           	 			11,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Malakpet, NH  "
1037,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1100 sqft,"           	 			           	 			14,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Madinaguda, Hafeezpet, NH  "
1038,																																								2 BHK Builder Floor																									            	,2,Unfurnished,Bachelors/Family,1150 sqft,"           	 			           	 			7,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Karmanghat 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1039,																																								3 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1550 sqft,"           	 			           	 			26,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Banjara Hills, NH  "
1040,																																								1 BHK Penthouse																									            	,Main Road,Unfurnished,Bachelors/Family,NaN,"           	 			           	 			5,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Chatta Bazaar
1041,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,100 sqyrd,"           	 			           	 			8,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Neknampur, Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1042,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1375 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1043,																																								2 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			12,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Nizampet 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1044,																																								2 BHK Apartment																									            	,Garden/Park,Unfurnished,Bachelors,950 sqft,"           	 			           	 			14,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kalyan Nagar-Moti Nagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1045,																																								2 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors/Family,1000 sqft,"           	 			           	 			7,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kukatpally, NH  "
1046,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,2100 sqft,"           	 			           	 			27,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Gachibowli, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1047,																																								2 BHK Builder Floor																									            	,2,Semi-Furnished,Bachelors/Family,1000 sqft,"           	 			           	 			11,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Moti Nagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1048,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1100 sqft,"           	 			           	 			18,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Puppalaguda 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1049,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Family,1035 sqft,"           	 			           	 			13,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Pragathi Nagar, Kukatpally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1050,																																								1 BHK Apartment																									            	,1,Furnished,Bachelors/Family,read more,"           	 			           	 			14,000           	 		", 									
1051,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1300 sqft,"           	 			           	 			13,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1052,																																								3 BHK Apartment																									            	,West,Semi-Furnished,Bachelors/Family,2800 sqft,"           	 			           	 			40,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Banjara Hills, NH  "
1053,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,940 sqft,"           	 			           	 			11,000           	 		", 									 								 				             				             			             				         			            	Janapriya Utopia 
1054,																																								3 BHK Apartment																									            	,East,Furnished,Family,1690 sqft,"           	 			           	 			15,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Chandanagar, NH  "
1055,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,900 sqft,"           	 			           	 			16,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Ameerpet, NH  "
1056,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors,1500 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Suchitra Circle 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1057,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1300 sqft,"           	 			           	 			16,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Banjara Hills, NH  "
1058,																																								2 BHK Apartment																									            	,1,Furnished,Bachelors/Family,750 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Masab Tank 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1059,																																								3 BHK Apartment																									            	,3,Furnished,Bachelors/Family,1570 sqft,"           	 			           	 			35,000           	 		"," 									 								 				             				             			             				         			            	Venkata Sai Residency,  			            	 	                	 	                		 					            							          							         	Kondapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1060,																																								2 BHK Builder Floor																									            	,1,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			8,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Dilsukh Nagar, NH  "
1061,																																								3 BHK Apartment																									            	,			            				            					            			Same Premise			            					            					            				            ,Semi-Furnished,Family,1700 sqft,"           	 			           	 			27,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Madhapur 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1062,																																								1 BHK Builder Floor																									            	,North,Semi-Furnished,Bachelors/Family,read more,"           	 			           	 			10,000           	 		", 									 								 				             				             			             				         			            	Moti Nagar RWA
1063,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors,1400 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Banjara Hills, NH  "
1064,																																								2 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1000 sqft,"           	 			           	 			15,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Humayun Nagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1065,																																								1 BHK Apartment																									            	,3,Unfurnished,Bachelors/Family,read more,"           	 			           	 			11,000           	 		", 									
1066,																																								3 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors,1800 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Toli Chowki 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1067,																																								3 BHK Builder Floor																									            	,1,Semi-Furnished,Bachelors,2000 sqft,"           	 			           	 			20,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Puppalaguda 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1068,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,1100 sqft,"           	 			           	 			20,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1069,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1200 sqft,"           	 			           	 			9,250           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Bowenpally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1070,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1200 sqft,"           	 			           	 			14,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Jaya Nagar, Kukatpally, NH  "
1071,																																								2 BHK Builder Floor																									            	,1,Unfurnished,Bachelors,1100 sqft,"           	 			           	 			10,000           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sivaji Nagar-Chandanagar 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1072,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors,1265 sqft,"           	 			           	 			16,000           	 		"," 									 								 				             				             			             				         			            	Armsburg My Space,  			            	 	                	 	                		 					            							          							         	Kompally 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1073,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors,1350 sqft,"           	 			           	 			12,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Sun City, Bandlaguda, Chevella Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1074,																																								2 BHK Apartment																									            	,East,Semi-Furnished,Bachelors/Family,1100 sqft,"           	 			           	 			14,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Kukatpally, NH  "
1075,																																								3 BHK Apartment																									            	,2,Semi-Furnished,Bachelors/Family,2000 sqft,"           	 			           	 			18,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1076,																																								3 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,1650 sqft,"           	 			           	 			16,000           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1077,																																								2 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1430 sqft,"           	 			           	 			7,500           	 		"," 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Hydershakote, Bandlaguda, Chevella Road 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	"
1078,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors,1280 sqft,"           	 			           	 			13,500           	 		", 									 								 				             				             			             				        	 	                	 	                		 					            							          							         	Bandari Layout 							          							           			        				  						         	         		    		 	           			 						 							 								 					             					            	
1079,																																								1 BHK Builder Floor																									            	,1,Unfurnished,Bachelors/Family,read more,"           	 			           	 			8,000           	 		", 									
